ID,Date,Category,Amount,Description,Created At
exp_8885chosj,2026-07-31,Transport,50,Metro to tinfactory,2026-08-06T08:32:53.901Z
exp_h7ijlbh5a,2026-07-30,Shopping,20,Surf excel liqued,2026-08-06T08:32:24.795Z
exp_ywabfitx2,2026-07-30,Transport,172,Uber bike to pg,2026-08-06T08:30:16.955Z
exp_7vfu9j4p0,2026-07-29,Others,820,Thiruvannamali expenses,2026-08-06T08:27:49.473Z
exp_2a181ud5k,2026-07-28,Transport,35,Pg to office by bus,2026-08-06T08:18:51.296Z
exp_4zyp175g4,2026-07-28,Transport,35,Office to pg by bus,2026-08-06T08:19:19.106Z
exp_bo1egimgm,2026-07-28,Others,150,Haircut,2026-08-06T08:19:52.010Z
exp_wsp1bn6pb,2026-07-28,Transport,90,Metro to deepanjani nagar,2026-08-06T08:21:10.457Z
exp_xgoqnbjva,2026-07-28,Food,146,Cake and gift at loyal city,2026-08-06T08:20:31.036Z
exp_fxn26wk54,2026-07-27,Shopping,424,Kashmiri bangale,2026-08-06T08:17:07.607Z
exp_rp7s7p860,2026-07-27,Travel,504,Thiruvannamali bus booking,2026-08-06T04:09:02.589Z
exp_sfdtyqxv9,2026-07-27,Others,790,Thiruvannamali room booking,2026-08-06T04:08:25.788Z
exp_snj43zbm0,2026-07-27,Transport,35,Pg to office bud,2026-08-06T08:16:24.427Z
exp_tqy9blx2w,2026-07-27,Transport,35,Office to pg bus,2026-08-06T08:18:06.994Z
exp_9eg7x66zy,2026-07-25,Transport,60,Metro to indranagar,2026-08-06T04:05:14.774Z
exp_a4dc9qmy1,2026-07-25,Food,20,Ground nut,2026-08-06T04:06:17.280Z
exp_abab3opcd,2026-07-25,Others,90,Flower shop,2026-08-06T04:05:50.736Z
exp_db4c8u9nx,2026-07-25,Shopping,20,Surfexcel,2026-08-06T04:03:14.015Z
exp_e380hxlrl,2026-07-25,Transport,100,Badminton metro,2026-08-06T03:49:59.146Z
exp_pajqjs4sq,2026-07-25,Transport,12,Badminton bus,2026-08-06T03:49:34.956Z
exp_plnae02u3,2026-07-25,Transport,12,Badminton bus,2026-08-06T03:49:03.090Z
exp_skild6fi2,2026-07-25,Transport,60,Metro to Kadugodi,2026-08-06T04:07:14.096Z
exp_vt7nj5w8e,2026-07-25,Food,15,Coconut purfie,2026-08-06T04:04:11.267Z
exp_wafdui6y8,2026-07-25,Transport,100,Badminton metro,2026-08-06T03:48:33.038Z
exp_1l5mm6wyo,2026-07-24,Transport,50,Metro to kr puram,2026-08-06T03:41:56.458Z
